Countries,Province/State,date,confirmed,recovered,deaths,CHE_per_capita,CHE_prop_GDP,DOM_prop_CHE,OOPS_prop_CHE,GGHE_prop_GDP,GGHE_per_capita,PVT_per_capita,OOPS_per_capita,GOV_SUB_INS,GGE,Lat,Long,Country Income Group
Afghanistan,NA,2020-05-16,6402,745,168,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-17,6664,778,169,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-18,7072,801,173,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Albania,NA,2020-01-22,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-23,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-24,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-25,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-26,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-27,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-28,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-29,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-30,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-01-31,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-01,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-02,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-03,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-04,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
